year,scenarios,data,value,origin
1961,Historical,pop,10445836,ISIMIP
1962,Historical,pop,10643420,ISIMIP
1963,Historical,pop,10845179,ISIMIP
1964,Historical,pop,11065419,ISIMIP
1965,Historical,pop,11313186,ISIMIP
1966,Historical,pop,11593402,ISIMIP
1967,Historical,pop,11899644,ISIMIP
1968,Historical,pop,12215704,ISIMIP
1969,Historical,pop,12518931,ISIMIP
1970,Historical,pop,12793030,ISIMIP
1971,Historical,pop,13033130,ISIMIP
1972,Historical,pop,13244163,ISIMIP
1973,Historical,pop,13431790,ISIMIP
1974,Historical,pop,13605574,ISIMIP
1975,Historical,pop,13773290,ISIMIP
1976,Historical,pop,13935722,ISIMIP
1977,Historical,pop,14092545,ISIMIP
1978,Historical,pop,14249403,ISIMIP
1979,Historical,pop,14413002,ISIMIP
1980,Historical,pop,14588400,ISIMIP
1981,Historical,pop,14777241,ISIMIP
1982,Historical,pop,14979203,ISIMIP
1983,Historical,pop,15194644,ISIMIP
1984,Historical,pop,15423156,ISIMIP
1985,Historical,pop,15663672,ISIMIP
1986,Historical,pop,15917580,ISIMIP
1987,Historical,pop,16183159,ISIMIP
1988,Historical,pop,16452258,ISIMIP
1989,Historical,pop,16713989,ISIMIP
1990,Historical,pop,16960600,ISIMIP
1991,Historical,pop,17189235,ISIMIP
1992,Historical,pop,17402179,ISIMIP
1993,Historical,pop,17603211,ISIMIP
1994,Historical,pop,17798526,ISIMIP
1995,Historical,pop,17993083,ISIMIP
1996,Historical,pop,18189274,ISIMIP
1997,Historical,pop,18387205,ISIMIP
1998,Historical,pop,18587027,ISIMIP
1999,Historical,pop,18788187,ISIMIP
2000,Historical,pop,18991434,ISIMIP
2001,Historical,pop,19194676,ISIMIP
2002,Historical,pop,19401366,ISIMIP
2003,Historical,pop,19624163,ISIMIP
2004,Historical,pop,19879654,ISIMIP
2005,Historical,pop,20178543,ISIMIP
2006,Historical,pop,20526300,ISIMIP
2007,Historical,pop,20916339,ISIMIP
2008,Historical,pop,21332293,ISIMIP
2009,Historical,pop,21750852,ISIMIP
2010,Historical,pop,22154687,ISIMIP
2011,ssp1,pop,22538002,ISIMIP
2012,ssp1,pop,22903951,ISIMIP
2013,ssp1,pop,23254912,ISIMIP
2014,ssp1,pop,23596426,ISIMIP
2015,ssp1,pop,23932499,ISIMIP
2016,ssp1,pop,24262710,ISIMIP
2017,ssp1,pop,24584619,ISIMIP
2018,ssp1,pop,24898153,ISIMIP
2019,ssp1,pop,25203200,ISIMIP
2020,ssp1,pop,25499881,ISIMIP
2021,ssp1,pop,25788217,ISIMIP
2022,ssp1,pop,25964981.78,ISIMIP
2023,ssp1,pop,26141746.56,ISIMIP
2024,ssp1,pop,26318511.33,ISIMIP
2025,ssp1,pop,26495276.11,ISIMIP
2026,ssp1,pop,26651740.89,ISIMIP
2027,ssp1,pop,26808205.67,ISIMIP
2028,ssp1,pop,26964670.44,ISIMIP
2029,ssp1,pop,27121135.22,ISIMIP
2030,ssp1,pop,27277600,ISIMIP
2031,ssp1,pop,27473200,ISIMIP
2032,ssp1,pop,27668800,ISIMIP
2033,ssp1,pop,27864400,ISIMIP
2034,ssp1,pop,28060000,ISIMIP
2035,ssp1,pop,28255600,ISIMIP
2036,ssp1,pop,28438600,ISIMIP
2037,ssp1,pop,28621600,ISIMIP
2038,ssp1,pop,28804600,ISIMIP
2039,ssp1,pop,28987600,ISIMIP
2040,ssp1,pop,29170600,ISIMIP
2041,ssp1,pop,29345320,ISIMIP
2042,ssp1,pop,29520040,ISIMIP
2043,ssp1,pop,29694760,ISIMIP
2044,ssp1,pop,29869480,ISIMIP
2045,ssp1,pop,30044200,ISIMIP
2046,ssp1,pop,30210460,ISIMIP
2047,ssp1,pop,30376720,ISIMIP
2048,ssp1,pop,30542980,ISIMIP
2049,ssp1,pop,30709240,ISIMIP
2050,ssp1,pop,30875500,ISIMIP
2051,ssp1,pop,31029580,ISIMIP
2052,ssp1,pop,31183660,ISIMIP
